Physics Time (ms),Script Time (ms),System Memory (MB),Wall Time (ms),Blue Cumulative Reward
9.5,0,1750.333,10135.3,0.4521
9.5,0,1750.333,10138.7,0
9.5,0,1750.333,10139.0,0
9.5,0,1750.333,10139.2,0
9.5,0,1750.333,10139.5,0
9.5,0,1750.333,10139.6,0
9.5,0,1750.333,10139.7,0
9.5,0,1750.333,10139.8,0
9.5,0,1750.333,10139.8,0
8.7,0,1818.785,20209.3,0.9042
8.7,0,1818.785,20203.8,0
8.7,0,1818.785,20204.0,0
8.7,0,1818.785,20204.0,0
8.7,0,1818.785,20204.3,0
8.7,0,1818.785,20204.4,0
8.7,0,1818.785,20204.5,0
8.7,0,1818.785,20204.5,0.2288246
8.7,0,1818.785,20204.6,0
9.3,0,1821.131,30312.4,0.9431508
9.3,0,1821.131,30308.6,0
9.3,0,1821.131,30309.1,0.469918
9.3,0,1821.131,30309.3,0
9.3,0,1821.131,30309.3,0
9.3,0,1821.131,30309.4,0
9.3,0,1821.131,30309.4,0
9.3,0,1821.131,30309.5,0.9296
9.3,0,1821.131,30309.5,0
10.1,0,1826.567,40386.8,1.3794
10.1,0,1826.567,40382.3,0
10.1,0,1826.567,40382.9,0.819
10.1,0,1826.567,40383.0,0
10.1,0,1826.567,40383.1,0
10.1,0,1826.567,40383.1,0
10.1,0,1826.567,40383.1,0
10.1,0,1826.567,40383.2,0.9296
10.1,0,1826.567,40383.2,0
12.0,0,1828.346,50427.7,1.3794
12.0,0,1828.346,50422.1,0
12.0,0,1828.346,50422.1,0.819
12.0,0,1828.346,50422.3,0.5705346
12.0,0,1828.346,50422.4,0
12.0,0,1828.346,50422.6,0
12.0,0,1828.346,50422.7,0
12.0,0,1828.346,50422.8,1.08145
12.0,0,1828.346,50422.8,0.6424692
10.4,0,1826.516,60481.8,1.3794
10.4,0,1826.516,60485.6,0
10.4,0,1826.516,60485.6,0.819
10.4,0,1826.516,60485.7,1.2102
10.4,0,1826.516,60485.8,0
10.4,0,1826.516,60486.2,0
10.5,0,1826.516,60486.2,0
10.5,0,1826.516,60486.4,1.537
10.5,0,1826.516,60486.5,0.9826
10.1,0,1827.033,70516.8,2.033327
10.1,0,1827.033,70512.4,0
10.1,0,1827.033,70512.9,0.819
10.1,0,1827.033,70513.2,1.2102
10.1,0,1827.033,70513.5,0
10.1,0,1827.033,70513.8,0
10.1,0,1827.033,70513.9,0
10.1,0,1827.033,70514.0,1.537
10.1,0,1827.033,70514.1,1.126477
14.9,0,1827.17,80567.0,2.2142
14.9,0,1827.17,80562.0,0
14.9,0,1827.17,80562.7,0.819
14.9,0,1827.17,80563.4,1.2102
14.9,0,1827.17,80563.8,0
14.9,0,1827.17,80564.2,0
14.9,0,1827.17,80564.6,0.2778566
14.9,0,1827.17,80564.7,1.599762
14.9,0,1827.17,80565.2,1.4904
11.2,0,1826.926,90583.5,2.2142
11.2,0,1826.926,90578.1,0.2434815
11.2,0,1826.926,90578.2,0.819
11.2,0,1826.926,90578.2,1.2102
11.2,0,1826.926,90578.2,0
11.2,0,1826.926,90578.2,0
11.2,0,1826.926,90578.2,0.4602
11.2,0,1826.926,90578.3,1.9066
11.2,0,1826.926,90578.3,1.4904
11.8,0,1827.154,125414.6,2.34325
11.8,0,1827.154,125415.1,0.692
11.8,0,1827.154,125415.8,0.819
11.8,0,1827.154,125416.6,1.2102
11.8,0,1827.154,125417.4,0
11.8,0,1827.154,125418.7,0
11.8,0,1827.154,125419.3,0.4602
11.8,0,1827.154,125419.7,1.9066
11.8,0,1827.154,125420.2,1.59675
10.0,0,1826.327,135446.8,2.7304
10.0,0,1826.327,135443.3,0.692
10.0,0,1826.327,135443.7,0.819
10.0,0,1826.327,135444.0,1.2102
10.0,0,1826.327,135444.1,0
10.0,0,1826.327,135444.3,0
10.0,0,1826.327,135444.7,0.4602
10.0,0,1826.327,135444.7,1.9066
10.0,0,1826.327,135445.3,1.9158
10.9,0,1826.377,145449.1,2.7304
10.9,0,1826.377,145445.7,0.692
10.9,0,1826.377,145447.0,0.819
10.9,0,1826.377,145447.7,1.2102
10.9,0,1826.377,145447.9,0
10.9,0,1826.377,145448.7,0
10.9,0,1826.377,145450.2,0.4602
10.9,0,1826.377,145450.7,1.9066
10.9,0,1826.377,145451.7,1.9158
9.6,0,1827.625,155480.5,3.0829
9.6,0,1827.625,155475.7,0.692
9.6,0,1827.625,155475.9,1.43465
9.6,0,1827.625,155475.9,1.2102
9.6,0,1827.625,155476.0,0
9.6,0,1827.625,155476.0,0.3895714
9.6,0,1827.625,155476.0,0.4602
